id,origem,tipo,localizacao,ser,area,quartos,banheiros,vagas,condo,preco,timestamp_extracao
ea74a60f-4ab3-4fe1-be0b-3bac5511fbe6,Chaves na Mão,Condomínio,Lagoa Redonda,SER6,96,3,4,2,500.0,375000.0,2025-04-23 23:07:07.008526
9ab0b603-0864-466d-ac27-edea78ad089b,Chaves na Mão,Condomínio,José de Alencar,SER6,110,3,3,2,0.0,782000.0,2025-04-23 23:07:07.008526
cac919c6-5a66-4160-871c-b3982c6c1697,Chaves na Mão,Condomínio,Edson Queiroz,SER7,180,4,5,4,604.0,449000.0,2025-04-23 23:07:07.008526
445b8972-867d-4ee4-884b-18baf818d452,Chaves na Mão,Condomínio,Passaré,SER8,98,3,3,2,650.0,495000.0,2025-04-23 23:07:07.008526
30d9c89c-1c6f-4ac2-aeab-35bde084722f,Chaves na Mão,Condomínio,Praia de Iracema,SER12,150,2,3,1,0.0,580000.0,2025-04-23 23:07:07.008526
49eb2815-5291-461b-8473-0b7aa8772131,Chaves na Mão,Condomínio,Guajerú,Outro,62,2,1,2,190.0,350000.0,2025-04-23 23:07:07.008526
4b155860-e708-42d5-b603-cbc421ee7beb,Chaves na Mão,Condomínio,Alphaville Fortaleza,Outro,550,5,7,10,1250.0,7500000.0,2025-04-23 23:07:07.008526
4d659e66-cfde-4410-b4be-f4dec4c56871,Chaves na Mão,Condomínio,Sapiranga,SER7,134,4,4,2,600.0,520000.0,2025-04-23 23:07:07.008526
7d3aa251-1a0b-4bc2-9752-1c9ccd49dd8c,Chaves na Mão,Condomínio,Lagoa Redonda,SER6,96,3,3,2,600.0,360000.0,2025-04-23 23:07:07.008526
a6cb3d51-0a15-4614-a771-d249e56dd5fd,Chaves na Mão,Condomínio,Passaré,SER8,80,2,2,4,165.0,290000.0,2025-04-23 23:07:07.008526
503fd0a8-9e05-49c3-bef6-1587a714dcb9,Chaves na Mão,Condomínio,Sabiaguaba,SER7,190,4,4,3,1050.0,998000.0,2025-04-23 23:07:07.008526
e0ce9226-811d-4cbd-b1ef-291da0d5220b,Chaves na Mão,Condomínio,de Lourdes,SER2,800,6,8,6,2500.0,6000000.0,2025-04-23 23:07:07.008526
f9e89d2f-4aac-43da-bb99-09d44bdde8b5,Chaves na Mão,Condomínio,Sabiaguaba,SER7,148,4,5,2,1100.0,799000.0,2025-04-23 23:07:07.008526
709bb12b-e49d-4929-b0ad-1d06ad243b83,Chaves na Mão,Condomínio,Parque Santa Maria,SER9,70,2,3,2,380.0,229000.0,2025-04-23 23:07:07.008526
527806f7-0116-4c35-9396-a1e6a3e09e3c,Chaves na Mão,Condomínio,Passaré,SER8,125,4,2,2,450.0,380000.0,2025-04-23 23:07:07.008526
d6da5385-4d2c-4591-85af-d581042a1fef,Chaves na Mão,Condomínio,de Lourdes,SER2,380,5,8,5,2349.0,2690000.0,2025-04-23 23:07:07.008526
8e05b630-4b10-40ec-9945-b4ce879f4d73,Chaves na Mão,Condomínio,Mondubim,SER10,76,3,2,3,300.0,300000.0,2025-04-23 23:07:07.008526
1c74b4d6-afc6-41c1-bd55-9d89f8ef95dd,Chaves na Mão,Condomínio,Cidade dos Funcionários,SER6,152,4,4,2,0.0,820000.0,2025-04-23 23:07:07.008526
7e9dec13-e07c-4189-ab3a-a27989cedc5b,Chaves na Mão,Condomínio,Lagoa Redonda,SER6,225,3,4,4,2000.0,1300000.0,2025-04-23 23:07:07.008526
74a718fb-4efb-4164-a4cf-b435982078cb,Chaves na Mão,Condomínio,Prefeito José Walter,SER8,59,2,2,1,245.0,298000.0,2025-04-23 23:07:07.008526
bf966d7b-547f-430d-92a8-e0a364addaf3,Chaves na Mão,Condomínio,Maraponga,SER10,118,4,3,3,580.0,550000.0,2025-04-23 23:07:07.008526
82f4953b-51ca-4d86-90ba-aed9aed48c0d,Chaves na Mão,Condomínio,Maraponga,SER10,212,4,5,3,800.0,1900000.0,2025-04-23 23:07:07.008526
d804d7ed-7dc1-4d17-bbcf-eb249a8b3e53,Chaves na Mão,Condomínio,Maraponga,SER10,238,4,5,4,0.0,1990000.0,2025-04-23 23:07:07.008526
42e9b8db-cdf7-4cf8-b9b4-daf9e5c3f7be,Chaves na Mão,Condomínio,José de Alencar,SER6,150,3,3,4,500.0,550000.0,2025-04-23 23:07:07.008526
e5642844-11a3-477c-b065-ada191175037,Chaves na Mão,Condomínio,Alagadiço Novo,Outro,190,3,5,6,0.0,1349300.0,2025-04-23 23:07:07.008526
305264b0-cd94-4bd0-b7a3-493094b4da10,Chaves na Mão,Condomínio,Engenheiro Luciano Cavalcante,SER7,350,4,5,4,1200.0,1500000.0,2025-04-23 23:07:07.008526
15bf943e-02d9-4d4a-a2d0-f98a06a9d2e7,Chaves na Mão,Condomínio,Centro,SER12,414,3,4,4,980.0,3890000.0,2025-04-23 23:07:07.008526
6df8eb26-4e1c-485e-b3b1-a1c61f03d162,Chaves na Mão,Condomínio,Sapiranga,SER7,160,3,4,2,1000.0,780000.0,2025-04-23 23:07:07.008526
9eaca3cb-5135-48c1-9ab0-242426e988b3,Chaves na Mão,Condomínio,Dunas,Outro,185,4,5,2,11.0,1628308.0,2025-04-23 23:07:07.008526
8ed09af9-5876-4cc9-babb-54a74806050f,Chaves na Mão,Condomínio,Lagoa Redonda,SER6,95,3,2,2,800.0,310000.0,2025-04-23 23:07:07.008526
2d511ecc-2175-4c15-bf8f-46efded95f76,Chaves na Mão,Condomínio,Dunas,Outro,220,4,4,3,1129.0,1663259.0,2025-04-23 23:07:07.008526
42848705-34d0-45be-a32d-d840f53cce65,Chaves na Mão,Condomínio,Jangurussu,SER9,68,2,2,1,450.0,190000.0,2025-04-23 23:07:07.008526
af06f9a4-3db9-49ac-a918-f3eb58ec7b6f,Chaves na Mão,Condomínio,Sapiranga,SER7,134,4,5,2,600.0,520000.0,2025-04-23 23:07:07.008526
cb5ba344-f6a4-4c8c-b03b-b65b05162768,Chaves na Mão,Condomínio,Henrique Jorge,SER11,200,3,2,2,300.0,379000.0,2025-04-23 23:07:07.008526
00693a3f-3009-461c-b09e-3532778d8508,Chaves na Mão,Condomínio,Jardim Cearense,SER10,226,5,5,3,585.0,2200000.0,2025-04-23 23:07:07.008526
de6300c1-0d82-424b-ad6a-7e9a8b57d6f5,Chaves na Mão,Condomínio,Passaré,SER8,44,2,1,2,210.0,198000.0,2025-04-23 23:07:07.008526
a8ba4116-9c4a-41f5-9c4a-8eb878b991d3,Chaves na Mão,Condomínio,Sapiranga,SER7,154,2,4,2,950.0,780000.0,2025-04-23 23:07:07.008526
6e9a472d-d5c9-4a3b-8820-7f378e3dc98f,Chaves na Mão,Condomínio,Eusébio,Outro,98,3,2,2,0.0,379000.0,2025-04-23 23:07:07.008526
3649326e-f8e2-4d56-9bc7-ee3604829d3d,Chaves na Mão,Condomínio,Messejana,SER6,134,3,4,2,50.0,730000.0,2025-04-23 23:07:07.008526
8ce6563b-b2fc-42b8-b4ca-924d014a0d64,Chaves na Mão,Condomínio,Edson Queiroz,SER7,190,4,5,4,1095.0,695000.0,2025-04-23 23:07:07.008526
775c27f0-0e30-46cd-8b04-c9c59e437b9d,Chaves na Mão,Condomínio,Passaré,SER8,90,3,2,2,200.0,350000.0,2025-04-23 23:07:07.008526
0df1a61e-1116-400a-9ab6-66c8ef6aa7a2,Chaves na Mão,Condomínio,Coité,Outro,200,4,5,4,1095.0,830000.0,2025-04-23 23:07:07.008526
c05a8078-f187-4cf8-ab80-559bb443d299,Chaves na Mão,Condomínio,Maraponga,SER10,320,4,4,4,580.0,2200000.0,2025-04-23 23:07:07.008526
e0accbee-38d8-48d3-aa55-a08cb5efccfe,Chaves na Mão,Condomínio,Maraponga,SER10,90,3,3,2,50.0,350000.0,2025-04-23 23:07:07.008526
02b02f07-19a3-4f45-8fe8-eb8e716e0516,Chaves na Mão,Condomínio,Edson Queiroz,SER7,120,3,3,2,970.0,499999.0,2025-04-23 23:07:07.008526
d90a078d-8305-4d18-a472-4ef0e8dc17ac,Chaves na Mão,Condomínio,José de Alencar,SER6,205,4,5,3,900.0,1100000.0,2025-04-23 23:07:07.008526
12a0a0ad-2a3c-4018-9d08-7d7350a53953,Chaves na Mão,Condomínio,Edson Queiroz,SER7,200,4,5,3,1095.0,760000.0,2025-04-23 23:07:07.008526
3d322107-4da1-491a-801c-618c697c6cc1,Chaves na Mão,Condomínio,José de Alencar,SER6,176,4,5,2,495.0,560000.0,2025-04-23 23:07:07.008526
a373d90f-ca93-4eb4-9b00-4bcedda5f6c7,Chaves na Mão,Condomínio,Edson Queiroz,SER7,100,3,3,3,580.0,450000.0,2025-04-23 23:07:07.008526
538d11ec-a869-4a5b-b216-3ed4b44fc63b,Chaves na Mão,Condomínio,Lagoa Redonda,SER6,187,3,4,4,500.0,1000000.0,2025-04-23 23:07:07.008526
6fa59135-5463-4aea-8636-0b3a5df640f3,Chaves na Mão,Condomínio,Maraponga,SER10,111,3,4,2,650.0,750000.0,2025-04-23 23:07:07.008526
4bbb5ea1-1f30-4aa4-8b16-4e3ebedbe4fd,Chaves na Mão,Condomínio,Parque Santa Maria,SER9,70,3,3,2,380.0,290000.0,2025-04-23 23:07:07.008526
9e62df6a-8789-4bbd-9a31-b934dadd0f09,Chaves na Mão,Condomínio,Coaçu,SER6,303,4,6,2,700.0,2200000.0,2025-04-23 23:07:07.008526
688f032e-94da-4e66-a970-14341fb47dbc,Chaves na Mão,Condomínio,Lagoa Redonda,SER6,148,3,4,3,0.0,936139.0,2025-04-23 23:07:07.008526
249765d8-5bc6-4dbf-a3ce-595203fad245,Chaves na Mão,Condomínio,Cambeba,SER6,246,3,3,4,0.0,560000.0,2025-04-23 23:07:07.008526
2d7b7687-9deb-454d-bed1-982eaef1f4b5,Chaves na Mão,Condomínio,Sabiaguaba,SER7,180,4,3,3,0.0,1416765.0,2025-04-23 23:07:07.008526
